epoch,weight,截距bias,loss
0,-1.2840330310809736,0.0,0.3326125317515817
1,-1.3004286484996017,-0.009489285537388484,0.3290510856742642
2,-1.3164391563325017,-0.018703685836624802,0.3256300001602196
3,-1.3320806239129928,-0.027655888544101385,0.3223409304083573
4,-1.3473681811040406,-0.03635780973161333,0.3191761716788765
5,-1.3623160869967588,-0.044820650513795635,0.31612860056246533
6,-1.3769377927518192,-0.05305494893454248,0.3131916224064092
7,-1.3912459991359685,-0.06107062755048757,0.3103591241839029
8,-1.405252709251188,-0.06887703710018672,0.3076254321819233
9,-1.418969276904642,-0.07648299661148097,0.30498527396042935
10,-1.4324064510230363,-0.08389683026649253,0.3024337441029551
11,-1.4455744164749256,-0.09112640131364295,0.2999662733372033
12,-1.4584828316284923,-0.09817914328878342,0.29757860065521335
13,-1.4711408629399698,-0.10506208878278665,0.2952667481070727
14,-1.483557216838842,-0.1117818959705615,0.2930269979808598
15,-1.4957401691499157,-0.11834487309621292,0.2908558721152983
16,-1.5076975922689855,-0.1247570010907914,0.2887501131211316
17,-1.5194369802878585,-0.13102395448257484,0.28670666731305894
18,-1.5309654722456991,-0.13715112074493582,0.28472266917669214
19,-1.5422898736667772,-0.14314361821341176,0.2827954272148292
20,-1.553416676529555,-0.14900631269147407,0.2809224110347529
21,-1.5643520777984368,-0.15474383285355345,0.27910123955356336
22,-1.5751019966372781,-0.16036058454400653,0.2773296702120271
23,-1.5856720904127508,-0.16586076406179517,0.27560558909928606
24,-1.5960677695857657,-0.17124837051259945,0.27392700190124575
25,-1.6062942115802439,-0.17652721730281046,0.27229202559470445
26,-1.6163563737104982,-0.18170094284327287,0.27069888081747207
27,-1.6262590052412411,-0.18677302052469708,0.2691458848519644
28,-1.6360066586477051,-0.19174676802127708,0.2676314451661859
29,-1.6456037001374537,-0.19662535597417294,0.2661540534617163
30,-1.6550543194901273,-0.2014118161020972,0.26471228018338183
31,-1.664362539266536,-0.20610904878223638,0.2633047694498069
32,-1.6735322234341454,-0.2107198301411014,0.26193023436805685
33,-1.6825670854520307,-0.2152468186915977,0.2605874526991716
34,-1.691470695854786,-0.21969256154960315,0.2592752628445906
35,-1.7002464893716125,-0.2240595002606121,0.2579925601263326
36,-1.7088977716138376,-0.22834997626451883,0.2567382933363581
37,-1.7174277253614305,-0.23256623602435003,0.25551146153284027
38,-1.7258394164766162,-0.23671043584269358,0.2543111110631298
39,-1.7341357994704614,-0.24078464638768823,0.2531363327950523
40,-1.7423197227462615,-0.24479085694872196,0.25198625953984094
41,-1.7503939335417027,-0.24873097944041664,0.25086006365150726
42,-1.7583610825900713,-0.2526068521720427,0.24975695478880017
43,-1.766223728519232,-0.2564202433981947,0.2486761778271272
44,-1.7739843420056736,-0.2601728546653569,0.2476170109089066
45,-1.7816453096996254,-0.2638663239678873,0.24657876362181702
46,-1.7892089379360492,-0.2675022287259392,0.24556077529530898
47,-1.7966774562452268,-0.2710820885969126,0.24456241340656062
48,-1.8040530206756549,-0.27460736813117737,0.24358307208779473
49,-1.8113377169410407,-0.2780794792820302,0.2426221707275483
50,-1.8185335634023467,-0.2814997837791259,0.24167915265909282
51,-1.8256425138950507,-0.2848695953739654,0.2407534839297581
52,-1.8326664604110752,-0.2881901819654127,0.23984465214541517
53,-1.8396072356441775,-0.29146276761265183,0.238952165384835
54,-1.8464666154069846,-0.29468853444247883,0.23807555117905516
55,-1.853246320927294,-0.29786862445734574,0.23721435555126993
56,-1.8599480210307455,-0.3010041412501337,0.2363681421131083
57,-1.8665733342164907,-0.30409615163122505,0.23553649121348155
58,-1.8731238306320404,-0.30714568717306856,0.23471899913647382
59,-1.8796010339530655,-0.3101537456770831,0.23391527734501638
60,-1.8860064231735458,-0.3131212925674245,0.2331249517673303
61,-1.892341434311309,-0.3160492622158405,0.23234766212334623
62,-1.8986074620336797,-0.3189385592015637,0.23158306128851444
63,-1.904805861207653,-0.32179005950993506,0.23083081469261044
64,-1.9109379483787305,-0.32460461167321325,0.23009059975130985
65,-1.917005003182293,-0.3273830378568048,0.22936210532847165
66,-1.9230082696911444,-0.3301261348939438,0.22864503122720964
67,-1.9289489577026386,-0.33283467527166066,0.2279390877079724
68,-1.9348282439685847,-0.335509408070701,0.22724399503197396
69,-1.9406472733709408,-0.33815105986189203,0.22655948302843193
70,-1.946407160046117,-0.34076033556129903,0.2258852906841787
71,-1.9521089884605445,-0.34333791924637286,0.22522116575430545
72,-1.957753814440007,-0.34588447493515456,0.22456686439259257
73,-1.9633426661550848,-0.34840064733048076,0.2239221508005625
74,-1.968876545064924,-0.35088706253101576,0.2232867968940678
75,-1.9743564268214153,-0.35334432871082916,0.22266058198640057
76,-1.9797832621357485,-0.3557730367691367,0.2220432924869736
77,-1.9851579776091908,-0.35817376095172687,0.22143472161468924
78,-1.9904814765298402,-0.36054705944550824,0.22083466912516259
79,-1.9957546396370025,-0.36289347494752966,0.22024294105102676
80,-2.000978325854746,-0.3652135352097481,0.21965934945459034
81,-2.006153372996109,-0.3675077535607465,0.21908371219216635
82,-2.0112805984393454,-0.3697766294055369,0.2185158526894347
83,-2.016360799777528,-0.3720206487045196,0.21795559972723835
84,-2.021394755442747,-0.37424028443261015,0.21740278723725087
85,-2.026383225306085,-0.3764359970194903,0.21685725410698814
86,-2.0313269512544756,-0.3786082347718865,0.21631884399366771
87,-2.036226657745509,-0.38075743427872943,0.21578740514645048
88,-2.041083052341173,-0.3828840208000044,0.21526279023662503
89,-2.045896826221487,-0.3849884086400553,0.214744856195325
90,-2.0506686546789177,-0.3870710015060677,0.21423346405838908
91,-2.0553991975944332,-0.38913219285241596,0.21372847881799953
92,-2.0600890998960026,-0.3911723662115236,0.2132297692807553
93,-2.0647389920003074,-0.39319189551185346,0.21273720793185524
94,-2.0693494902383947,-0.3951911453836099,0.2122506708050857
95,-2.07392119726596,-0.3971704714527076,0.21177003735832436
96,-2.0784547024589237,-0.39913022062353165,0.21129519035428826
97,-2.082950582294921,-0.40107073135098664,0.21082601574626905
98,-2.0874094007213,-0.40299233390230876,0.21036240256861327
99,-2.0918317095101995,-0.4048953506090898,0.2099042428317183
100,-2.096218048601233,-0.4067800961099397,0.2094514314213271
101,-2.1005689464323067,-0.4086468775841934,0.20900386600191814
